0.330104	10527	EPPK1
0.333083	11991	ZNF469
0.385450	10323	MUC2
0.410153	16389	AHNAK2
0.419917	12231	HRNR
0.428782	14238	MUC5AC
0.429614	14520	MUC6
0.445515	23970	MUC12
0.448326	11079	FLG
0.486780	40470	LOC129040853
0.486780	40470	LOC129040854
0.486780	40470	LOC129040855
0.486780	40470	LOC129040858
0.486780	40470	LOC129040859
0.486780	40470	LOC129040861
0.487593	10236	STARD9
0.493567	11115	MUC3A
0.496665	10194	FLG2
0.500396	10110	MUC17
0.502229	15027	LOC129040851
0.502229	15027	LOC129040852
0.510071	18072	AHNAK
0.512257	11463	MUC19
0.560992	16740	LOC129030581
0.573210	17238	TTN
0.587772	10533	CMYA5
0.619742	20991	CCDC168
0.624881	11559	SACS
