0.329464	11889	ZNF469
0.355568	16146	MUC5B
0.387235	10482	MUC2
0.414618	14886	AHNAK2
0.424080	12309	MUC5AC
0.440070	14784	MUC6
0.442391	24675	MUC12
0.445136	12057	FLG
0.485859	10254	STARD9
0.493364	42267	LOC107972007
0.493364	42267	LOC129144496
0.493364	42267	LOC129144497
0.493364	42267	LOC129144498
0.493364	42267	LOC129144499
0.493364	42267	LOC134810625
0.493364	42267	LOC134810626
0.493851	10734	MUC3A
0.504559	12393	MUC19
0.508682	17508	AHNAK
0.510038	27447	LOC107972039
0.510038	27447	LOC134810627
0.510038	27447	MUC17
0.511944	22731	MUC16
0.562250	15735	SPATA31H1
0.572746	17238	TTN
0.587844	10530	CMYA5
0.617564	20997	CCDC168
0.623756	11559	SACS
