0.270350	10209	EPPK1
0.305304	16911	EPPK1
0.331652	11898	ZNF469
0.349775	10218	LOC129527692
0.360294	12537	MUC5B
0.411001	17253	AHNAK2
0.420851	13563	MUC5AC
0.424259	10899	HRNR
0.431688	16410	MUC4
0.434161	14133	MUC6
0.441425	43056	LOC101147131
0.441425	43056	LOC134758806
0.441425	43056	LOC134758807
0.441425	43056	LOC134758808
0.444389	12057	FLG
0.485567	10254	STARD9
0.488331	23781	LOC129523908
0.488331	23781	LOC129523909
0.488331	23781	LOC129523910
0.488331	23781	LOC129523911
0.493266	21978	LOC129523911
0.493266	21978	LOC129523912
0.493266	21978	LOC129523913
0.493266	21978	LOC129523914
0.493266	21978	LOC129523915
0.493266	21978	LOC129523916
0.502248	27357	LOC129523904
0.502248	27357	LOC129523905
0.502248	27357	MUC17
0.509120	11787	MUC19
0.509481	17508	AHNAK
0.512246	22743	MUC16
0.560025	16185	SPATA31H1
0.573384	17238	TTN
0.586948	10512	CMYA5
0.618367	20994	CCDC168
0.623843	11559	SACS
