0.268126	13434	EPPK1
0.296881	20136	EPPK1
0.320044	10986	CRIP2
0.329128	11889	ZNF469
0.356674	14781	MUC5B
0.411612	17361	AHNAK2
0.423906	12432	MUC5AC
0.427576	10908	HRNR
0.432394	11286	MUC4
0.439754	14283	MUC6
0.447741	10113	FLG
0.486127	10236	STARD9
0.492150	57834	LOC103785161
0.492150	57834	LOC117981257
0.492150	57834	LOC134730785
0.493355	10836	MUC3A
0.507957	11373	MUC19
0.509139	17508	AHNAK
0.512205	22737	MUC16
0.513839	24459	LOC106634424
0.513839	24459	LOC117981258
0.513839	24459	LOC117981260
0.513839	24459	LOC129398341
0.513839	24459	LOC129398342
0.559918	16047	SPATA31H1
0.572630	17238	TTN
0.587654	10530	CMYA5
0.619027	20991	CCDC168
0.624016	11559	SACS
