0.266172	13341	EPPK1
0.298309	20043	EPPK1
0.333835	11964	ZNF469
0.386793	10737	MUC2
0.407682	10935	IQCN
0.410641	16389	AHNAK2
0.428962	17181	MUC5AC
0.430048	14517	LOC100440362
0.430048	14517	LOC129048549
0.448596	11079	FLG
0.449195	22311	MUC12
0.487157	10239	STARD9
0.492427	44370	LOC129047298
0.492427	44370	LOC129060557
0.492427	44370	LOC129060558
0.492427	44370	LOC129060559
0.492427	44370	LOC129060560
0.492427	44370	LOC129060561
0.494670	11163	MUC3A
0.499110	10110	MUC17
0.509573	18072	AHNAK
0.512186	11283	MUC19
0.561024	16764	SPATA31H1
0.573210	17238	TTN
0.587962	10533	CMYA5
0.619660	20997	CCDC168
0.624968	11559	SACS
