NC_060934.1	1232409	1239024	1	6615
NC_060934.1	134060784	134067861	1	7077
NC_060934.1	1232284	1239049	2	6765
NC_060934.1	1232489	1239410	3	6921
NC_060934.1	134060672	134067875	3	7203
NC_060934.1	133769541	133774647	-1	5106
NC_060934.1	131972550	131978775	-1	6225
NC_060934.1	18577128	18582279	-1	5151
NC_060934.1	134091083	134096327	-2	5244
NC_060934.1	134060783	134067989	-2	7206
NC_060934.1	131972693	131978090	-2	5397
NC_060934.1	134091100	134096386	-3	5286
NC_060934.1	134060533	134067874	-3	7341
